id,value,days_until_deadline,customer_tier,units
order-0088,6634.31,12,silver,166
order-0089,8097.9,10,silver,68
order-0090,4226.1,11,silver,32
order-0091,2988.4,1,bronze,186
order-0092,7914.64,3,bronze,46
order-0093,1337.75,15,bronze,167
order-0094,15761.13,13,bronze,12
order-0095,12647.07,14,gold,96
order-0096,12735.16,25,bronze,81
order-0097,8700.02,23,silver,118
order-0098,849.54,7,bronze,70
order-0099,14055.8,3,silver,58
order-0100,8804.17,29,gold,84
order-0101,7797.6,29,bronze,68
order-0102,2868.29,23,gold,188
order-0103,13414.65,29,bronze,97
order-0104,13517.45,24,silver,145
order-0105,10873.44,26,bronze,184
order-0106,595.57,5,gold,199
order-0107,8079.13,17,gold,145
order-0108,2436.34,29,silver,46
order-0109,16479.21,11,gold,7
order-0110,16956.89,22,silver,179
order-0111,19072.02,19,silver,23
order-0112,1207.25,25,bronze,131
order-0113,10815.63,8,gold,142
order-0114,15104.82,30,bronze,16
order-0115,11227.3,28,bronze,47
order-0116,16647.16,8,gold,166
order-0117,5374.34,20,bronze,193
order-0118,18881.16,9,silver,154
order-0119,8234.47,12,bronze,108
order-0120,19343.13,13,bronze,61
order-0121,19474.6,14,bronze,42
order-0122,8597.79,19,bronze,173
order-0123,18516.68,22,silver,40
order-0124,13037.58,29,gold,42
order-0125,2369.28,24,silver,179
order-0126,10586.45,15,bronze,185
order-0127,17233.05,5,silver,193
order-0128,4384.01,19,bronze,81
order-0129,18728.39,28,bronze,138
order-0130,19091.8,10,bronze,181
order-0131,17178.24,20,bronze,150
order-0132,19683.21,29,gold,79
order-0133,950.93,16,silver,52
order-0134,3858.83,12,gold,83
order-0135,9910.62,28,gold,108
order-0136,19828.75,16,bronze,154
order-0137,4512.26,19,bronze,143
order-0138,1041.52,24,gold,103
order-0139,15770.74,29,gold,120
order-0140,18262.41,29,gold,166
order-0141,14494.92,22,gold,56
order-0142,17150.69,8,gold,199
order-0143,5543.15,6,bronze,181
order-0144,13665.29,2,silver,44
order-0145,17369.43,11,gold,109
order-0146,2273.68,26,gold,31
order-0147,2306.53,27,silver,10
order-0148,7454.89,19,bronze,173
order-0149,7064.52,1,silver,85
order-0150,9006.32,16,gold,54
order-0151,13063.92,24,silver,101
order-0152,2945.8,11,gold,71
order-0153,1986.76,14,gold,113
order-0154,17800.19,30,silver,25
order-0155,10789.93,23,silver,174
order-0156,15562.18,25,silver,76
order-0157,13426.58,22,bronze,68
order-0158,2589.73,11,bronze,145
order-0159,10955.26,4,bronze,127
order-0160,10419.32,2,bronze,76
order-0161,13731.6,19,bronze,47
order-0162,13093.77,24,bronze,39
order-0163,3992.54,29,bronze,117
order-0164,2901.05,30,bronze,37
order-0165,18455.8,21,bronze,167
order-0166,12149.94,18,silver,166
order-0167,4144.61,16,silver,46
order-0168,14256.61,4,bronze,47
order-0169,15212.37,18,bronze,190
order-0170,8141.16,4,silver,70
order-0171,7975.9,28,gold,11
order-0172,9834.63,9,gold,179
order-0173,15493.58,12,silver,104
order-0174,9240.53,26,gold,91
order-0175,10211.11,4,gold,70
order-0176,12007.32,22,gold,145
order-0177,15690.17,24,gold,48
order-0178,14114.38,19,silver,172
order-0179,14994.69,27,bronze,33
order-0180,12042.37,5,silver,50
order-0181,11122.04,6,bronze,46
order-0182,4440.5,9,silver,76
order-0183,1086.71,26,silver,105
order-0184,19011.79,13,silver,142
order-0185,18170.19,10,bronze,128
order-0186,19551.05,22,bronze,77
order-0187,17966.19,22,silver,8
order-0188,12226.6,24,bronze,1
order-0189,2595.91,25,bronze,60
order-0190,10091.51,17,bronze,118
order-0191,4378.69,26,bronze,55
order-0192,1222.71,17,bronze,114
order-0193,2675.69,10,bronze,40
order-0194,3143.96,26,gold,160
order-0195,18508.81,1,silver,159
order-0196,5051.57,3,silver,138
order-0197,868.55,11,silver,85
order-0198,17474.96,23,bronze,35
order-0199,2070.04,27,bronze,199
order-0200,18576.03,23,gold,190
order-0201,19885.66,26,gold,17
order-0202,17298.47,14,bronze,194
order-0203,4807.34,11,gold,11
order-0204,8465.28,28,gold,181
order-0205,3636.03,16,silver,180
order-0206,1825.7,28,silver,54
order-0207,13160.22,10,gold,119
order-0208,9422.84,23,silver,113
order-0209,4021.49,29,gold,185
order-0210,5504.25,28,silver,115
order-0211,10821.96,20,silver,58
order-0212,19409.67,26,gold,67
order-0213,15772.02,5,silver,137
order-0214,4308.34,7,gold,44
order-0215,11898.31,17,gold,163
order-0216,1035.91,4,bronze,44
order-0217,9133.44,6,gold,6
order-0218,8360.6,11,silver,9
order-0219,14217.14,2,gold,104
order-0220,1263.15,16,gold,57
order-0221,5210.47,13,silver,49
order-0222,3712.8,20,gold,89
order-0223,18297.41,20,gold,187
order-0224,6170.69,26,silver,77
order-0225,10027.11,18,silver,8
order-0226,16386.05,21,silver,82
order-0227,2327.46,22,silver,23
order-0228,12049.03,1,gold,8
order-0229,13776.23,1,gold,129
order-0230,1213.82,2,gold,168
order-0231,10439.7,11,gold,194
order-0232,9799.12,26,silver,90
order-0233,18831.75,2,silver,79
order-0234,15155.81,21,silver,23
order-0235,18972.6,6,silver,30
order-0236,10395.83,18,silver,138
order-0237,13760.93,30,silver,45
order-0238,16830.59,28,bronze,99
order-0239,16795.32,18,silver,48
order-0240,7575.1,14,silver,59
order-0241,9167.34,23,silver,89
order-0242,5754.42,6,bronze,185
order-0243,15178.49,30,bronze,179
order-0244,8042.59,16,gold,40
order-0245,3847.68,25,gold,120
order-0246,2293.92,23,bronze,170
order-0247,2393.2,8,bronze,165
order-0248,1600.63,20,gold,116
order-0249,9595.74,28,bronze,166
order-0250,7007.38,12,gold,19
order-0251,4299.41,26,gold,87
order-0252,11593.44,4,silver,21
order-0253,16527.63,7,gold,177
order-0254,1451.99,5,bronze,37
order-0255,11918.37,1,gold,59
order-0256,6106.29,7,gold,144
order-0257,10553.55,17,bronze,82
order-0258,15878.5,18,gold,120
order-0259,3963.39,3,gold,29
order-0260,12163.94,28,gold,52
order-0261,18891.99,9,gold,28
order-0262,9572.08,8,bronze,158
order-0263,2622.44,16,bronze,180
order-0264,7247.95,20,bronze,115
order-0265,15667.3,10,bronze,114
order-0266,16388.63,7,gold,139
order-0267,647.32,10,bronze,165
order-0268,2006.15,12,gold,125
order-0269,15195.27,30,bronze,176
order-0270,14838.7,14,bronze,18
order-0271,12314.45,7,gold,90
order-0272,16840.35,2,silver,61
order-0273,8901.18,3,silver,56
order-0274,6802.98,24,gold,186
order-0275,4765.32,29,bronze,157
order-0276,9539.49,23,bronze,108
order-0277,7671.62,7,bronze,105
order-0278,9941.72,25,silver,121
order-0279,19947.39,30,gold,75
order-0280,19170.88,1,gold,25
order-0281,1051.27,5,silver,129
order-0282,10629.41,21,silver,11
order-0283,4298.89,7,silver,126
order-0284,8931.69,12,silver,190
order-0285,4336.39,26,silver,37
order-0286,2515.55,10,silver,114
order-0287,2012.37,5,silver,196
order-0288,16294.73,10,silver,163
order-0289,7765.32,6,silver,80
order-0290,18830.21,16,bronze,139
order-0291,4840.96,28,silver,74
order-0292,1073.56,12,silver,77
order-0293,15076.47,30,bronze,3
order-0294,778.6,21,bronze,39
order-0295,10948.81,6,gold,1
order-0296,4476.82,25,silver,91
order-0297,19596.15,26,silver,142
order-0298,1184.91,6,gold,4
order-0299,5897.84,29,silver,14
order-0300,12267.99,26,gold,116
order-0301,6576.5,8,bronze,128
order-0302,8655.26,9,silver,12
order-0303,1072.2,2,bronze,173
order-0304,3729.13,25,bronze,64
order-0305,19093.82,24,silver,131
order-0306,15136.22,11,bronze,35
order-0307,5952.07,6,gold,5
order-0308,9973.51,2,silver,120
order-0309,10662.15,25,bronze,132
order-0310,8581.34,17,bronze,44
order-0311,6228.03,3,bronze,36
order-0312,19846.21,18,gold,105
order-0313,15596.39,15,silver,72
order-0314,16157.45,15,silver,136
order-0315,3528.45,11,gold,134
order-0316,1236.29,16,gold,118
order-0317,18660.85,20,silver,8
order-0318,6671.81,20,bronze,30
order-0319,10007.95,9,bronze,193
order-0320,18276.66,4,silver,172
order-0321,1979.06,2,bronze,125
order-0322,17966.17,27,bronze,115
order-0323,4304.2,30,silver,47
order-0324,13250.5,27,silver,81
order-0325,1461.33,7,gold,82
order-0326,6689.19,13,bronze,73
order-0327,1193.25,14,silver,106
order-0328,19613.34,3,silver,59
order-0329,19157.38,24,gold,179
order-0330,10761.87,24,bronze,32
order-0331,12806.78,27,gold,73
order-0332,19500.0,23,gold,111
order-0333,5718.65,16,silver,69
order-0334,6143.35,18,gold,45
order-0335,5100.9,6,gold,39
order-0336,18157.09,6,bronze,120
order-0337,13654.65,21,gold,37
order-0338,8139.9,6,bronze,46
order-0339,6564.33,21,gold,38
order-0340,1451.6,5,bronze,55
order-0341,7956.51,4,silver,100
order-0342,4044.7,1,silver,27
order-0343,3060.61,5,silver,33
order-0344,7979.95,30,bronze,20
order-0345,18723.71,1,silver,37
order-0346,19608.51,8,gold,91
order-0347,11147.7,29,silver,27
order-0348,14216.53,11,silver,6
order-0349,14919.14,17,bronze,114
order-0350,11592.95,15,bronze,138
order-0351,6454.43,5,bronze,117
order-0352,16743.04,7,bronze,76
order-0353,18689.44,28,bronze,46
order-0354,6364.34,28,gold,82
order-0355,5684.88,7,gold,14
order-0356,12269.94,2,silver,158
order-0357,17517.3,4,bronze,4
order-0358,3580.2,4,silver,146
order-0359,13866.7,17,bronze,197
order-0360,5865.1,15,bronze,149
order-0361,9103.22,5,bronze,154
order-0362,4761.41,15,bronze,145
order-0363,7783.44,11,bronze,92
order-0364,14198.88,25,bronze,89
order-0365,17312.63,27,silver,74
order-0366,19534.29,10,silver,47
order-0367,2901.99,17,gold,188
order-0368,19911.02,24,bronze,64
order-0369,6006.65,9,silver,34
order-0370,9818.28,18,gold,159
order-0371,10805.35,15,bronze,14
order-0372,1850.93,14,bronze,157
order-0373,15659.48,2,gold,98
order-0374,7988.48,3,silver,132
order-0375,4685.68,18,silver,31
order-0376,8906.34,28,silver,183
order-0377,11427.71,1,silver,96
order-0378,10353.98,13,silver,96
order-0379,18203.52,22,gold,150
order-0380,10154.55,11,gold,1
order-0381,7732.97,20,gold,36
order-0382,17761.26,7,silver,112
order-0383,6018.1,1,gold,138
order-0384,14797.88,11,bronze,114
order-0385,14879.56,27,bronze,55
order-0386,9107.26,22,bronze,31
order-0387,10434.95,30,silver,58
order-0388,9769.37,29,silver,74
order-0389,11278.21,4,gold,154
order-0390,17709.65,14,gold,90
order-0391,7964.78,16,gold,122
order-0392,5846.35,13,gold,131
order-0393,12897.75,19,bronze,169
order-0394,6309.41,10,gold,164
order-0395,19592.68,23,gold,17
order-0396,9112.84,25,bronze,83
order-0397,1787.14,1,silver,123
order-0398,18297.06,21,gold,169
order-0399,6965.7,14,bronze,58
order-0400,17741.21,7,bronze,101
order-0401,19181.44,2,bronze,133
order-0402,1017.89,30,bronze,135
order-0403,5168.6,27,gold,47
order-0404,5028.59,16,bronze,102
order-0405,6050.07,15,bronze,136
order-0406,4918.49,19,silver,88
order-0407,18047.1,5,bronze,137
order-0408,7606.27,17,silver,81
order-0409,15489.76,30,bronze,185
order-0410,14890.93,7,silver,16
order-0411,14565.99,28,silver,162
order-0412,4281.23,28,gold,48
order-0413,16543.97,15,gold,129
order-0414,8244.39,7,silver,48
order-0415,15218.07,11,silver,64
order-0416,7994.36,28,bronze,187
order-0417,1611.35,13,silver,100
order-0418,4857.19,10,silver,89
order-0419,5635.36,23,silver,188
order-0420,2667.52,8,silver,114
order-0421,3871.98,6,gold,124
order-0422,14142.59,7,bronze,94
order-0423,12382.49,6,bronze,193
order-0424,10848.38,20,bronze,109
order-0425,12156.53,21,silver,114
order-0426,7800.95,3,bronze,118
order-0427,10058.2,19,gold,69
order-0428,10634.53,14,bronze,127
order-0429,4826.76,27,bronze,125
order-0430,7246.13,20,silver,195
order-0431,3985.08,23,silver,87
order-0432,17354.75,5,bronze,83
order-0433,2599.2,17,gold,77
order-0434,9817.07,18,gold,115
order-0435,7809.06,2,bronze,89
order-0436,16565.21,7,bronze,24
order-0437,14189.05,18,bronze,78
order-0438,11890.81,22,silver,139
order-0439,6807.12,14,bronze,167
order-0440,6180.0,1,silver,174
order-0441,11393.82,25,silver,109
order-0442,9835.84,19,gold,64
order-0443,6259.36,7,bronze,99
order-0444,14404.65,11,bronze,42
order-0445,6733.69,24,silver,45
order-0446,11052.87,15,gold,105
order-0447,11279.9,12,gold,186
order-0448,1568.65,16,bronze,52
order-0449,3733.43,22,gold,31
order-0450,2465.41,18,gold,100
order-0451,17436.53,17,silver,102
order-0452,5846.77,16,silver,176
order-0453,6627.76,9,gold,55
order-0454,18985.38,16,silver,112
order-0455,3375.66,12,bronze,48
order-0456,5661.5,25,bronze,52
order-0457,13505.32,8,silver,89
order-0458,14802.17,29,gold,26
order-0459,17435.93,5,gold,58
order-0460,19694.83,11,gold,84
order-0461,16655.64,5,gold,11
order-0462,13510.01,9,bronze,35
order-0463,7761.39,28,silver,191
order-0464,8848.76,19,bronze,147
order-0465,8839.43,26,silver,66
order-0466,6259.02,9,bronze,100
order-0467,3499.49,2,gold,111
order-0468,12989.17,7,gold,130
order-0469,14713.12,7,bronze,187
order-0470,13062.76,9,gold,161
order-0471,11354.56,24,silver,52
order-0472,2800.68,7,bronze,19
order-0473,9949.85,24,silver,39
order-0474,2776.29,11,bronze,155
order-0475,14749.84,9,gold,23
order-0476,12684.18,29,bronze,36
order-0477,2359.57,23,gold,162
order-0478,15811.66,13,bronze,117
order-0479,11281.27,22,bronze,114
order-0480,5634.73,23,gold,18
order-0481,5989.89,23,silver,44
order-0482,633.04,11,bronze,186
order-0483,6892.38,12,gold,12
order-0484,16142.44,13,gold,138
order-0485,9179.46,22,bronze,84
order-0486,12731.32,15,silver,61
order-0487,16104.01,12,gold,59
order-0488,3575.44,13,gold,102
order-0489,6656.72,19,gold,140
order-0490,13496.0,8,silver,25
order-0491,983.5,1,bronze,87
order-0492,4854.4,15,bronze,131
order-0493,5674.5,25,bronze,98
order-0494,13415.47,24,gold,134
order-0495,11931.29,21,silver,17
order-0496,3966.15,15,bronze,136
order-0497,2444.63,30,bronze,160
order-0498,3386.15,17,gold,79
order-0499,19990.88,6,gold,94
order-0500,10759.26,10,gold,19
